name,category,container,instructions,image,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
Gin Smash,Ordinary Drink,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,,2 oz ,1 oz ,1 cube ,4 ,1 slice ,1 ,,,,,,,,,
Port Wine Flip,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz ,2 tsp ,1 tsp ,1 whole ,,,,,,,,,,,
ABC,Shot,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,
Rusty Nail,Ordinary Drink,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Scotch,Drambuie,Lemon peel,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 twist of ,,,,,,,,,,,,
Vesper,Cocktail,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",https://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,
Pineapple Gingerale Smoothie,Other / Unknown,Highball Glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,Ginger,Pineapple,,,,,,,,,,,,,,1/4 inch ,1/2 ,,,,,,,,,,,,,
Space Odyssey,Ordinary Drink,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherries,,,,,,,,,,1 shot Bacardi ,1 shot ,1 shot ,,,,,,,,,,,,
Alexander,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,
Nuked Hot Chocolate,Cocoa,Coffee mug,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",https://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,Cocoa powder,Sugar,Vanilla extract,Milk,,,,,,,,,,,,2 tsp ,1 tsp ,1/2 tsp ,12 oz ,,,,,,,,,,,
Mai Tai,Ordinary Drink,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 ,,,,,,,,,,
Lassi - Mango,Other / Unknown,Highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Mango,Yoghurt,Sugar,Water,,,,,,,,,,,,2 ,2 cups ,1/2 cup ,1 cup iced ,,,,,,,,,,,
Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Combine all ingredients in a punch bowl.,https://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Pineapple juice,Club soda,Orange juice,Lemon,Berries,Champagne,,,,,,,,,,46 oz chilled ,28 oz ,6 oz frozen ,1 ,2 cups ,1 bottle ,,,,,,,,,
Frosé,Cocktail,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,Rose,Sugar,Strawberries,Lemon Juice,,,,,,,,,,,,750 ml,1/2 cup,8 oz,2-3 oz,,,,,,,,,,,
Drinking Chocolate,Cocoa,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Heavy cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,,,,,,,,2 oz ,6-8 oz ,1 stick ,1 ,2 oz finely chopped dark ,Fresh ,,,,,,,,,
Spritz Veneziano,Cocktail,Wine Glass,"Build into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/51ezka1551456113.jpg,Prosecco,Aperol,Soda Water,,,,,,,,,,,,,6 cl,4 cl,Top,,,,,,,,,,,,
Amaretto Stinger,Ordinary Drink,Cocktail glass,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Amaretto,White Creme de Menthe,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
Pink Lady,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Gin,Grenadine,Light cream,Egg white,,,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tsp ,1 ,,,,,,,,,,,
Shanghai Cocktail,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Light rum,Anisette,Grenadine,Lemon,,,,,,,,,,,,1 oz Jamaican ,1 tsp ,1/2 tsp ,Juice of 1/4 ,,,,,,,,,,,
Kiwi Martini,Cocktail,Cocktail glass,"The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",https://www.thecocktaildb.com/images/media/drink/bmxmyq1630407098.jpg,Kiwi,Sugar Syrup,Vodka,Kiwi,,,,,,,,,,,,1/2,1 tsp,1 1/2 oz,Garnish with,,,,,,,,,,,
Victor,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
747 Drink,Cocktail,Highball glass,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,,,,,,1 oz,1 oz,1 oz,Top,,,,,,,,,,,
69 Special,Ordinary Drink,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Gin,7-Up,Lemon juice,,,,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz ,,,,,,,,,,,,
Absolut Sex,Shot,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",https://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 oz ,1 splash ,,,,,,,,,,,
Orange Whip,Other / Unknown,Collins Glass,Pour ingredients over ice and stir.,https://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,
Paloma,Cocktail,Collins glass,Stir together and serve over ice.,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg,Grape Soda,Tequila,,,,,,,,,,,,,,3 oz,1 1/2 oz,,,,,,,,,,,,,
Ipamena,Ordinary Drink,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,,,,,,,½,2 tsp,4 cl,top up with,fill,,,,,,,,,,
The Strange Weaver,Cocktail,Collins glass,"Mix ingredients slowly in a glass with ice, garnish with orange slice",https://www.thecocktaildb.com/images/media/drink/opxjzh1604179528.jpg,Light Rum,Gin,Sweet Vermouth,Campari,Lemon Juice,Orgeat Syrup,Orange Peel,,,,,,,,,1 oz,1 oz,0.75 oz,0.75 oz,Dash,Dash,Garnish with,,,,,,,,
California Root Beer,Soft Drink,Highball glass,Put Kahlua and Galliano in highball glass fill with soda,https://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Kahlua,Galliano,Soda water,,,,,,,,,,,,,3/4 oz ,3/4 oz ,Fill with ,,,,,,,,,,,,
Amaretto fizz,Cocktail,Collins glass,"Mix Amaretto, orange juice and sparkling wine in a jug. Add a strip orange zest to each glass, if you like.",https://www.thecocktaildb.com/images/media/drink/92h3jz1582474310.jpg,Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,,,,,,,4 cl,6 cl,15 cl,Garnish with,,,,,,,,,,,
Fuzzy Asshole,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,Coffee,Peach schnapps,,,,,,,,,,,,,,1/2 ,1/2 ,,,,,,,,,,,,,
B-53,Shot,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,,,,,
Apple Highball,Cocktail,Highball glass,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.",https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,Lime,Apple Schnapps,Cognac,Ginger,,,,,,,,,,,,Chopped,1 shot,1 shot,Top,,,,,,,,,,,
Avalon,Ordinary Drink,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,
Absolutly Screwed Up,Cocktail,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,Fill to top ,,,,,,,,,,,
Radler,Ordinary Drink,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite).",https://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Beer,7-Up,,,,,,,,,,,,,,12 oz ,12 oz ,,,,,,,,,,,,,
Old Fashioned,Cocktail,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,,,,4.5 cL,2 dashes,1 cube,dash,,,,,,,,,,,
French Martini,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,
A Gilligan's Island,Cocktail,Collins glass,"Shaken, not stirred!",https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz ,,,,,,,,,,,
Spiking coffee,Coffee / Tea,Coffee mug,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",https://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila Surprise,Shot,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,https://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Tequila,Tabasco sauce,,,,,,,,,,,,,,full glass ,About 8 drops ,,,,,,,,,,,,,
Brooklyn,Cocktail,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,
Yoghurt Cooler,Other / Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.",https://www.thecocktaildb.com/images/media/drink/trttrv1441254466.jpg,Yoghurt,Fruit,Ice,,,,,,,,,,,,,1 cup ,1 cup ,,,,,,,,,,,,,
Foxy Lady,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,
Lemon Elderflower Spritzer,Cocktail,Highball glass,"Pour all ingredients over ice, stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/125w0o1630407389.jpg,Elderflower cordial,Vodka,Soda Water,Fresh Lemon Juice,,,,,,,,,,,,2 tsp,1 shot,1/3 cup,Top,,,,,,,,,,,
Smut,Punch / Party Drink,Beer mug,Throw it all together and serve real cold.,https://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,,,,,,,,,,1/3 part ,1 shot ,1/3 part ,1/3 part ,,,,,,,,,,,
Absolut Summertime,Cocktail,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,https://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1/2 oz ,3 oz ,1 slice ,,,,,,,,,,
Salted Toffee Martini,Cocktail,Cocktail glass,"Add ice, toffee gin, chocolate liqueur and Amaretto to a cocktail shaker and shake vigorously. 
Pour the chocolate syrup into a saucer and dip the top of a martini glass into the sauce. Grate some of the Willie\'s sea salt chocolate into another saucer and dip the coated glass, so the flakes stick to the sauce, creating a chocolate rim!
Pour the contents of the shaker into your chocolatey glass and sprinkle with more grated chocolate - enjoy!",https://www.thecocktaildb.com/images/media/drink/3s6mlr1509551211.jpg,Gin,Chocolate liqueur,Amaretto,Chocolate Sauce,Salted Chocolate,,,,,,,,,,,50 ml ,30 ml ,15 ml,Garnish,Grated,,,,,,,,,,
Afterglow,Cocktail,Highball Glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,
Rum Old-fashioned,Ordinary Drink,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,,,,,,,1 1/2 oz ,1 tsp ,1/2 tsp ,1 dash ,1 tsp ,Twist of ,,,,,,,,,
Aztec Punch,Punch / Party Drink,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",https://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,
Highland Fling Cocktail,Ordinary Drink,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,2 dashes ,1 ,,,,,,,,,,,
Boomerang,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,,,,,,
Gagliardo,Cocktail,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,,,,,,,5 parts ,3 parts ,1 part ,1 part ,,,,,,,,,,,
John Collins,Ordinary Drink,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,,,,,,
Blue Hurricane,Cocktail,Highball glass,"If each part is 1/2 oz then use about 2.5 cups of ice.

Blend it all together. 
Drink it with a big straw if you have one.",https://www.thecocktaildb.com/images/media/drink/nwx02s1515795822.jpg,Rum,Dark Rum,Passoa,Blue Curacao,Sweet and Sour,Ice,,,,,,,,,,4 parts,2 parts,1 part,1 part,6 parts,cubes,,,,,,,,,
Dirty Martini,Cocktail,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
Figgy Thyme,Cocktail,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,Vodka,Honey,Figs,Thyme,Angostura Bitters,Tonic Water,,,,,,,,,,2 oz,1 tsp,3,1 Sprig,2 dashes,Top,,,,,,,,,
Scooter,Ordinary Drink,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Brandy,Amaretto,Light cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Sherry Flip,Ordinary Drink,Nick and Nora Glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,,1 1/2 oz cream ,2 tsp ,1 tsp ,1 whole ,,,,,,,,,,,
